annotation,speaker,utterance,neutral,anger,disgust,fear,joy,sadness,surprise
4100000,Chandler,also I was the point person on my companys transition from the KL-5 to GR-6 system.,1,0,0,0,0,0,0
5000000,The Interviewer,You mustve had your hands full.,1,0,0,0,0,0,0
5000000,Chandler,That I did. That I did.,1,0,0,0,0,0,0
5000000,The Interviewer,So lets talk a little bit about your duties.,1,0,0,0,0,0,0
2000030,Chandler,My duties?  All right.,0,0,0,0,0,0,1
5000000,The Interviewer,"Now youll be heading a whole division, so youll have a lot of duties.",1,0,0,0,0,0,0
3100010,Chandler,I see.,1,0,0,0,0,0,0
4000100,The Interviewer,But therell be perhaps 30 people under you so you can dump a certain amount on them.,1,0,0,0,0,0,0
4100000,Chandler,Good to know.,1,0,0,0,0,0,0
4000100,The Interviewer,We can go into detail,1,0,0,0,0,0,0
0004010,Chandler,No dont I beg of you!,0,0,0,1,0,0,0
4100000,The Interviewer,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",1,0,0,0,0,0,0
0100040,Chandler,Really?!,0,0,0,0,0,0,1
3200000,The Interviewer,Absolutely.  You can relax; you did great.,1,0,0,0,0,0,0
1000040,Joey,But then who? The waitress I went out with last month?,0,0,0,0,0,0,1
1010102,Rachel,You know? Forget it!,0,0,0,0,0,0,0
1001030,Joey,"No-no-no-no, no! Who, who were you talking about?",0,0,0,0,0,0,1
2012000,Rachel,"No, I-I-I-I don't, I actually don't know",0,0,0,0,0,0,0
4100000,Joey,Ok!,1,0,0,0,0,0,0
3200000,Joey,"All right, well...",1,0,0,0,0,0,0
2210000,Joey,I'm gonna see if I can get a room for the night and I'll...,0,0,0,0,0,0,0
2210000,Joey,I'll see you later!,0,0,0,0,0,0,0
3200000,Rachel,"Yeah, sure!",1,0,0,0,0,0,0
5000000,Chandler,"Hey, Mon.",1,0,0,0,0,0,0
4000001,Monica,Hey-hey-hey. You wanna hear something that sucks.,1,0,0,0,0,0,0
2300000,Chandler,Do I ever.,0,0,0,0,1,0,0
2030000,Monica,Chris says theyre closing down the bar.,0,0,0,0,0,1,0
0010040,Chandler,No way!,0,0,0,0,0,0,1
3010001,Monica,"Yeah, apparently theyre turning it into some kinda coffee place.",1,0,0,0,0,0,0
0120020,Chandler,Just coffee! Where are we gonna hang out now?,0,0,0,0,0,0,0
2030000,Monica,Got me.,0,0,0,0,0,1,0
5000000,Chandler,Can I get a beer.,1,0,0,0,0,0,0
5000000,Monica,"Hey, did you pick a roommate?",1,0,0,0,0,0,0
1400000,Chandler,You betcha!,0,0,0,0,1,0,0
5000000,Monica,Is it the Italian guy?,1,0,0,0,0,0,0
2100002,Chandler,"Um-mm, yeah right!",0,0,0,0,0,0,0
0010031,Phoebe,"Oh my God, oh my God! Poor Monica!",0,0,0,0,0,0,1
0001040,Chandler,"What, what, what?!",0,0,0,0,0,0,1
0002030,Phoebe,What?!,0,0,0,0,0,0,1
3010010,Phoebe,He was with her when he wrote this poem.,1,0,0,0,0,0,0
3010001,Phoebe,"Look,  'My vessel so empty with nothing inside.",1,0,0,0,0,0,0
3010001,Phoebe,"Now that I've touched you, you seem emptier still.'",1,0,0,0,0,0,0
1000040,Phoebe,"He thinks Monica is empty, she is the empty vase!",0,0,0,0,0,0,1
2000021,Chandler,You really think that is what he meant?,0,0,0,0,0,0,0
2030000,Phoebe,"Oh, totally. Oh, God, oh, she seemed so happy too.",0,0,0,0,0,1,0
4010000,Joey,Done.,1,0,0,0,0,0,0
1200020,Rachel,Hey!,0,0,0,0,0,0,0
2200010,Ross,Hi!,0,0,0,0,0,0,0
1000040,Rachel,What are you doing here?,0,0,0,0,0,0,1
4001000,Ross,"Ah y'know, this building is on my paper route so I...",1,0,0,0,0,0,0
4000010,Rachel,Oh.,1,0,0,0,0,0,0
5000000,Ross,Hi.,1,0,0,0,0,0,0
5000000,Rachel,Hi.,1,0,0,0,0,0,0
5000000,Ross,Howd did it go?,1,0,0,0,0,0,0
2300000,Rachel,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",0,0,0,0,1,0,0
0500000,Ross,Im so proud of you.,0,0,0,0,1,0,0
0400010,Rachel,Me too!,0,0,0,0,1,0,0
